0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,
org_type,dedicated_to,org_name,County,org_address,city,state,zip,org_phone,org_contact_name,org_email,org_website,notes,restrictions,bp_volunteer_contact,bp_supported,,,,
Necessaries,Medicaid and food stamps,Illinois Department of Human Services: DHS,,,Chicago,IL,,,,,abe.illinois.gov/abe/access/,"You can either go to a DHS office or you can go to their website to apply for both Medicaid and food stamps. You can also check on the website if you qualify. Have your social security number, state ID and any other pertinent personal information ready when you apply.",,,,,,,
Necessaries,State ID / Driver's License,Illinois Department of Motor Vehicles,,,Chicago,IL,,,,,,"A new state ID is $20 unless you have verification of homelessness or verification of a disability, or if you are 65 or older. A basic driver's license is $30, or $5 to get a duplicate copy. You need to bring a copy of your birth certificate, social security card, and 2 proofs of current address (utility bill, official government mail, etc). Basically, bring as much proof as you possibly can.",,,,,,,
Necessaries,Birth Certificate,"Division of Vital Records
Illinois Department of Public Health",,"
925 E. Ridgely Ave",Springfield,IL,62702,,,,,"Must mail to this address: an application (called eligibility to obtain an illinois birth record, can be found at: http://www.dph.illinois.gov/topics-services/birth-death-other-records/birth-records/obtain-birth-certificate ); in addition, you need a copy of your state ID OR two legal documents, both of which have your name and one of which has your address (utilility bill, insurance card, public assistance card, bank statement, paycheck stub, etc). Mail these things to the listed address along with a money order or check for $10 payable to the Illinois Department of Public Health",,,,,,,
Housing,,Catholic Charities- Cook County,Cook,,Chicago,,,312-655-7700,,,,"Faith-based, transitional and supportive housing, veteran specific and physical disability specific programs",,,,,,,
Housing,,Catholic Charities- Lake County,Lake,,Chicago,,,,,,,"Faith-based, transitional and supportive housing, elderly specific and HIV-AIDS specific programs",,,,,,,
Housing,,Alexian Brothers Housing: Bonaventure House,Cook,825 W Wellington,Chicago,IL,60608,773-327-9921,,,alexianbrothershousing.org/,"Healthcare and housing, people with HIV/AIDS only","Must have a HIV/AIDS diagnosis, be homeless or at risk, age 18+ and have 60+ days of sober time",,,,,,
Housing,,Alexian Brothers Housing: Bettendorf Place,Cook,8425 S Saginaw Ave,Chicago,IL,60617,773-359-4902,,,alexianbrothershousing.org/,"Healthcare and housing, congregate community setting",for folks who have a qualifying disability & are low income,,,,,,
Housing,,"Breakthrough Urban Ministries, Men's",Cook,330 W Carroll Ave,Chicago,IL,60624,773-722-0179,,,www.breakthrough.org/,"Faith-based housing, walk-ins welcome. Meet immediate needs of food & shelter. Guests receive a toiletry kit, a space to shower and are granted access to laundry facilities. Once the basic needs are addressed, guests receive on-site primary and mental health care, employment training and housing search assistance.",men only,,,,,,
Housing,,"Breakthrough Urban Ministries, Women's",Cook,330 W Carroll Ave,Chicago,IL,60624,773-722-0179,,,www.breakthrough.org/,"Faith-based housing, walk-ins welcome. Meet immediate needs of food & shelter. Guests receive a toiletry kit, a space to shower and are granted access to laundry facilities. Once the basic needs are addressed, guests receive on-site primary and mental health care, employment training and housing search assistance.",women only,,,,,,
