Housing,Resource/Organization Name,Location in IL (City),Address,Phone number,Contact Person at Org,Email ,URL,Description,Restrictions/ Considerations,LGBTQ friendly?,Ex-Offenders ok?,Sex offenders ok?,Habla espanol?
,Catholic Charities- Cook County,Cook County,"St. Vincent Center
721 N. LaSalle Street
Chicago, IL 60654",312-655-7700,,,https://www.catholiccharities.net/GetHelp.aspx,"Faith-based, transitional and supportive housing, veteran specific and physical disability specific programs",,,,,
,Catholic Charities- Lake County,Lake County,"671 S. Lewis
Waukegan, IL 60085",(847) 782-4000,,,http://www.catholiccharities.net/GetHelp/OurRegions/LakeCounty.aspx,"Faith-based, transitional and supportive housing, elderly specific and HIV-AIDS specific programs",,,,,
,Alexian Brothers Housing: Bonaventure House,Chicago,"825 W Wellington
Chicago, IL 60608",773-327-9921,,,alexianbrothershousing.org/,"Healthcare and housing, people with HIV/AIDS only","Must have a HIV/AIDS diagnosis, be homeless or at risk, age 18+ and have 60+ days of sober time",,,,
,Alexian Brothers Housing: Bettendorf Place,Chicago,"8425 S Saginaw Ave
Chicago, IL 60617",773-359-4902,,,alexianbrothershousing.org/,"Healthcare and housing, congregate community setting",for folks who have a qualifying disability & are low income,,,,
,"Breakthrough Urban Ministries, Men's",Chicago,"330 W Carroll Ave
Chicago, IL 60624",773-722-0179,,,www.breakthrough.org/,"Faith-based housing, walk-ins welcome. Meet immediate needs of food & shelter. Guests receive a toiletry kit, a space to shower and are granted access to laundry facilities. Once the basic needs are addressed, guests receive on-site primary and mental health care, employment training and housing search assistance.",men only,,,,
,"Breakthrough Urban Ministries, Women's",Chicago,"330 W Carroll Ave
Chicago, IL 60624",773-722-0179,,,www.breakthrough.org/,"Faith-based housing, walk-ins welcome. Meet immediate needs of food & shelter. Guests receive a toiletry kit, a space to shower and are granted access to laundry facilities. Once the basic needs are addressed, guests receive on-site primary and mental health care, employment training and housing search assistance.",women only,,,,
,"Brighter, Behavior, Choices Inc",Chicago,"6525 S Campbell Ave
Chicago, IL 60629",773-434-5526,,bbchoicesinc@att.net,http://bbchoicesinc.wixsite.com/women,"Drug/alcohol recovery, up to 12 months. A Not-For-Profit, Licensed Intervention and Recovery Home Provider Agency for Women.",women only,,,,
,Community Supportive Living Systems: Emerald House,Chicago,"12231 S. Emerald Ave 
Chicago, IL 60628",773-291-0482,,,http://www.csls.org/Emeraldhouse.html,Emerald House serves homeless men who have been HIV/AIDS diagnosed and is chronically and or terminally ill.,"men only, people with HIV/AIDS only",,,,
Might be closed?,Contact Ministries,Chicago,"5614 N Clifton
Chicago, IL 60640",773-271-8163,,,,"offers housing for men, women, and women with children, people with sexual convictions not eligible",people with sexual convictions not eligible,,,,
,Deborah's Place,Chicago,"2822 W Jackson Blvd
Chicago, IL 60612",773-722-5080,,,https://www.deborahsplace.org/,"housing for 120 days, helps with employment and health",women only,,,,
,Featherfist,Chicago,"2255 E 75th St
Chicago, IL 60649",773-721-7088,,,http://www.featherfist.org/,"free for homeless people, offers case management",,,,,
,Franciscan Outreach,Chicago,"1645 W. LeMoyne St. Chicago, IL 60622",(773) 278-6724,,,,"Receive 24-hour access to the shelter, life skills training, and volunteer opportunities. 
Interim Housing participants receive intensive case management to help them find housing in 120 days. In Phase 1, participants attend life skills classes and volunteer 25 hours per week in clerical, custodial, and culinary roles. In Phase 2, participants have reduced volunteer hour requirements because they are either working or in a job training program.",,,,,
,Gateway Foundation Kedzie Recovery Home,Chicago,"1706 North Kedzie Avenue
Chicago, IL 60647","(773) 227-2158
",,,,"Sober living environment. Programs at Chicago Kedzie:
 
+ Adult Recovery Home (Co-Ed)
+ Adult Transitional Housing (Co-Ed)","temporary housing, recovery based",,,,
, ,Chicago,"2208 S LaSalle St
1300
Chicago, IL 60604",312-660-1300,Rev Annie Gonzalez,,https://slministries.org/gh/,"Provides interim housing, emotional and spiritual support, and professional counseling to women who are exiting the Illinois prison system. Some services include substance abuse treatment, medical & mental health evals, parenting skills & child development, Educational opportunities through the St. Leonard’s Ministries Alternative High School. 

supportive housing, financial education, job training, workshops"," women only, recovery based",,,,
,Heartland Alliance,Chicago,"2208 S LaSalle St
1300
Chicago, IL 60604",312-660-1300,,,https://www.heartlandalliance.org/,"Subsidized housing, housing case management, rent assistance",,,,,
,,,,,,,,,,,,,
,La Casa Norte,Chicago,"3533 W. North Avenue
Chicago, IL 60647",(773) 276 4900,,,,The mission of La Casa Norte is to serve youth and families confronting homelessness. We provide access to stable housing and deliver comprehensive services that act as a catalyst to transform lives and communities.,,x,,,
,Lawndale Community Church,Chicago,"3827 W Ogden Ave
Chicago, IL 60623",773-762-6389,,,http://www.lawndalechurch.org/,"Faith-based, transitional housing, offers 2 meals a day, walk ins welcome, drug and alcohol free",,,,,
,IFOUR Project Chicago House,Chicago,"925 N Clybourn
Chicago, IL 60614",773-248-5200,,,http://www.chicagohouse.org/causes/translife-center/,"Housing, employment services, medical linkage and retention services, HIV prevention services, legal services, and other support programs. LGBTQ only.",LGBTQ only.,,,,
,Lakeview Shelter,Chicago,"1014 N Hamlin
Chicago, IL",773-342-8384,,,,"Housing and meals, employment and computer training, job placement, substance abuse treatment",women only,,,,
,Leslie's Place,Chicago,"1014 N Hamlin Ave
Chicago, IL 60651",773-342-8384,,,,"Provides housing, help with food and clothing, workshops on domestic violence, self esteem, parenting.
 There is also group/individual recovery coaching, job placement & referrals, computer training, parenting workshops. Assistance with finding permanent housing, medical services, transportation cards and help in resolving child custody issues.",Residents must be working or attending school. They must save 70% of their income.,,,,
