MENTAL HEALTH,Resource/Organization Name,Location in IL (City),Address,Phone number,Contact Person at Org,Email ,URL,Description,Restrictions/ Considerations,LGBTQ friendly?,Ex-Offenders ok?,Sex offenders ok?,Habla espanol?
Counseling/Therapy,Community Counseling Centers of Chicago,Chicago,4740 N Clark St,773 – 769 – 0205,,,,,,,,,
Counseling/Therapy,Metro Family Calumet Center,Chicago,235 East 103rd Street,773-371-3642,,,https://www.metrofamily.org/programs-and-services/Emotional-Wellness/mental-health.aspx,,,,,,
Counseling/Therapy,Metro Family Midway Center,Chicago,3843 West 63rd Street,773-884-3310,,,https://www.metrofamily.org/programs-and-services/Emotional-Wellness/mental-health.aspx,,,,,,
Counseling/Therapy,Metro Family Southeast Chicago Center,Chicago,3062 East 91st Street,773-371-2900,,,https://www.metrofamily.org/programs-and-services/Emotional-Wellness/mental-health.aspx,,,,,,
Counseling/Therapy,Metro Family North Center,Chicago,3249 North Central Ave. ,773-371-3700,,,https://www.metrofamily.org/programs-and-services/Emotional-Wellness/mental-health.aspx,,,,,,
Counseling/Therapy,Metro Family DuPage Center,Wheaton,222 East Willow Ave.,630-784-4800,,,https://www.metrofamily.org/programs-and-services/Emotional-Wellness/mental-health.aspx,,,,,,
Counseling/Therapy,Metro Family Blue Island Center,Blue Island,13136 Western Ave.,708-974-5800,,,https://www.metrofamily.org/programs-and-services/Emotional-Wellness/mental-health.aspx,,,,,,
Counseling/Therapy,Metro Family Palos Hills Center,Palos Hills,10537 South Roberts Rd.,708-974-2300,,,https://www.metrofamily.org/programs-and-services/Emotional-Wellness/mental-health.aspx,,,,,,
Counseling/Therapy,Trilogy,Chicago,1400 W. Greenleaf,(773) 508-6100,,,,,,,,,
Counseling/Therapy,Lutheran Social Services of IL Portage-Craigin Counseling Services,Chicago,4840 W Byron St,773.282.7800,,,http://www.lssi.org/behavioral-health/mental-health.php,,,,,,
Counseling/Therapy,Center for Religion & Psychotherapy Clinic,Chicago,30 N Michigan Ave # 1920,(312) 263-4368 ext. 9081,,crpcintake@aol.com,http://crpchicago.org/appointments,,,,,,
Counseling/Therapy,Center for Religion & Psychotherapy Clinic (Staff),Chicago,31 N Michigan Ave # 1920,(312) 263-4368 ext. 9090,,crpcintake@aol.com,http://crpchicago.org/appointments,,,,,,
Help Line,SAMHSA (Substance Abuse and Mental Health Services Administration),,,240-221-1475,,,,,,,,,
Crisis Line,Trilogy,,,1.800.322.8400,,,,,,,,,
,"LESBIAN & GAY HOTLINE:
Counseling referrals, support, and crisis intervention",,,(773) 929-4357,,,,,,,,,
,Illinois HIV/AIDS Info Hotline,,,(800) 243-2437,,,,,,,,,
,Center on Halsted Violence Resource Hotline,,,(773) 871-CARE (2273),,,,,,,,,
,Pillars,"berwyn, il",,"708.PILLARS = main line, mental health services=708.995.3600",,,,"offers outpatient mental health,psychological testing services,crisis teams, integrated care services, & The Living Room (in La Grange) offers a free alternative to the emergency room for adults ages 18 and older who are seeking help in a mental health crisis.",,,,,
,NAMI,Chicago,,,,,,,,,,,
,PIlsen Wellness Center,Chicago,,,,,,,,,,,
,Thresholds,Chicago,,,Mathias Kerger,,,,,,,,
,C4,,,,,,,,,,,,
,CENTER FOR CONTEXTUAL CHANGE,,,(847) 676-4447 x 304 – John Hughes,,,,,,,,,
,DEAF COUNSELING CENTER,,,mailto:info@deafcounseling.com,,,,,,,,,
,Hines VA Hospital,,,(708) 202-8387,,,,,,,,,
,SOUTH SIDE HELP CENTER Comprehensive Risk Counseling and Services – preventing HIV transmission,,,(773) 701-4246,,,,,,,,,
,"CHICAGO LAKESHORE HOSPITAL Valeo 
Intensive Outpatient and Inpatient Treatment 
",,,(800) 888-0560,,,,,,,,,
,Harmony Center for Holistic Psychotherapy (Rockford),,,(815) 639-0300,,,,,,,,,
,Care 2 Prevent Behavioral Health,,,(773) 702-4843,,,,,,,,,
,Beverly Therapists,,,773-310-3488,,,,,,,,,
,Project Vida HIV/AIDs counseling,,,(773) 277-2291,,,,,,,,,
,Intersex Chicago Meetup ,,,,,,,,,,,,
,,,,,,,,,,,,,
Meds,,,,,,,,,,,,,
Etc,,,,,,,,,,,,,
